harbor,code,location
Logstor Havn,DKLGR,"9.225636377182273 56.960050118206865,9.225636377182273 56.977301221455676,9.263275768394484 56.977301221455676,9.263275768394484 56.960050118206865,9.225636377182273 56.960050118206865"
Port of Nykobing Sjaelland,DKN3S,"11.654242888418118 55.90643774990262,11.654242888418118 55.92369178552569,11.690855202800048 55.92369178552569,11.690855202800048 55.90643774990262,11.654242888418118 55.90643774990262"
Havnso Havn,DKHVN,"11.31052156600187 55.74691030769628,11.30983492049406 55.7566676589083,11.32505556411185 55.75692524469019,11.34033342666068 55.75602368406277,11.34134121886141 55.74643755692111,11.31052156600187 55.74691030769628"
Lundeborg Havn,DKLUN,"10.766569940533671 55.130881254106875,10.766569940533671 55.14813747707822,10.80246901577851 55.14813747707822,10.80246901577851 55.130881254106875,10.766569940533671 55.130881254106875"
Port of Skive,DKSKV,"9.03362655983039 56.562271868631036,9.03362655983039 56.57952407343909,9.070869989983008 56.57952407343909,9.070869989983008 56.562271868631036,9.03362655983039 56.562271868631036"
Aarosund Havn,DKARD,"9.690121175632866 55.254770293994234,9.690121175632866 55.27202616599249,9.726131868487647 55.27202616599249,9.726131868487647 55.254770293994234,9.690121175632866 55.254770293994234"
Dragor Havn,DKDRA,"12.67485220508652 55.59001671768965,12.67429430561141 55.59520022387079,12.68293101863936 55.59438182104569,12.68154699878769 55.58943466722272,12.67485220508652 55.59001671768965"
Stigsnaesvaerkets Havn,DKSTG,"11.247046676658485 55.20642922147017,11.247046676658485 55.207579599419276,11.249444030545785 55.207579599419276,11.249444030545785 55.20642922147017,11.247046676658485 55.20642922147017"
Avernakke Terminal,DKAVN,"10.787877081527897 55.29698478469641,10.787877081527897 55.29813514547333,10.790279891963094 55.29813514547333,10.790279891963094 55.29698478469641,10.787877081527897 55.29698478469641"
Port of Dania,DKKGL,"10.05199672789178 56.684207123220816,10.05199672789178 56.68535722360143,10.054487150362238 56.68535722360143,10.054487150362238 56.684207123220816,10.05199672789178 56.684207123220816"
Helsingor Havn,DKHLS,"12.60806006 56.04539341,12.6224367 56.0455612,12.6252262 56.03088898,12.60836047 56.03062521,12.60806006 56.04539341"
Port of Vordingborg,DKVOR,"11.89011953002475 54.97570926401241,11.870979286494476 54.998904145845415,11.922220207514979 55.006042122528896,11.89715764647982 54.975364440687514,11.89011953002475 54.97570926401241"
Port of Nekso,DKNEX,"15.129815754741307 55.0567059978419,15.12992304310192 55.06645095041736,15.139471707194938 55.06678270401284,15.142261204570428 55.05707470253151,15.129815754741307 55.0567059978419"
Christianso Harbor,DKCSO,"15.184640121509863 55.318851598006546,15.184200239231426 55.32273101122817,15.187322330524761 55.32255398883646,15.187805128147437 55.31863182444775,15.184640121509863 55.318851598006546"
Aeroskobing Havn,DKARK,"10.41087013055511 54.88814141595626,10.40438991357513 54.89349744768649,10.41046243478485 54.89652069950603,10.41798692688752 54.890046138385,10.41087013055511 54.88814141595626"
Port of Sonderborg,DKSGD,"9.76539999181909 54.8977542156448,9.75441366369409 54.92393720135971,9.788059290957557 54.92485789890449,9.806369843944363 54.89538506520441,9.76539999181909 54.8977542156448"
Sakskobing Havn,DKSAX,"11.569688088730482 54.77422070565719,11.569688088730482 54.83174759556128,11.688351136151338 54.83174759556128,11.688351136151338 54.77422070565719,11.569688088730482 54.77422070565719"
Port of Rudkobing,DKRKB,"10.69225413893204 54.93376346608298,10.70987804379168 54.94658246946057,10.72692973707657 54.94369033310787,10.70358379504964 54.92659619375362,10.69225413893204 54.93376346608298"
Port of Horsens,DKHOR,"9.806038074511193 55.83773240885622,9.806038074511193 55.88374533733175,9.903532031339765 55.88374533733175,9.903532031339765 55.83773240885622,9.806038074511193 55.83773240885622"
